2016-10-16 23:12:11 [      0] [ INFO] - work.imps.CuratorFrameworkImpl - Starting 
2016-10-16 23:12:12 [     26] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:os.arch=x86_64 
2016-10-16 23:12:12 [     26] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:os.version=10.12 
2016-10-16 23:12:12 [     26] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:user.name=liwenke 
2016-10-16 23:12:12 [     26] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:user.home=/Users/liwenke 
2016-10-16 23:12:12 [     27] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:user.dir=/Users/liwenke/workspace/my-packge/my 
2016-10-16 23:12:12 [     28] [ INFO] - org.apache.zookeeper.ZooKeeper - Initiating client connection, connectString=localhost:2181 sessionTimeout=60000 watcher=org.apache.curator.ConnectionState@30c7da1e 
2016-10-16 23:12:12 [     85] [ INFO] - rg.apache.zookeeper.ClientCnxn - Opening socket connection to server localhost/0:0:0:0:0:0:0:1:2181. Will not attempt to authenticate using SASL (unknown error) 
2016-10-16 23:36:48 [      1] [ INFO] - work.imps.CuratorFrameworkImpl - Starting 
2016-10-16 23:36:53 [   5026] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT 
2016-10-16 23:36:53 [   5026] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:host.name=localhost 
2016-10-16 23:36:53 [   5026] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:java.version=1.8.0_74 
2016-10-16 23:36:53 [   5026] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:java.vendor=Oracle Corporation 
2016-10-16 23:36:53 [   5026] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:java.home=/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre 
2016-10-16 23:36:53 [   5027] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:java.class.path=/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/ext/cldrdata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/ext/jaccess.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/ext/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/ext/nashorn.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/jfxswt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/lib/packager.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/lib/tools.jar:/Users/liwenke/workspace/my-packge/my/mycore/target/classes:/Users/liwenke/workspace/my-packge/my/mycore/src/main/lib/netty-all-4.0.36.Final.jar:/Users/liwenke/.m2/repository/org/jasig/cas/client/cas-client-core/3.1.12/cas-client-core-3.1.12.jar:/Users/liwenke/.m2/repository/commons-logging/commons-logging/1.1/commons-logging-1.1.jar:/Users/liwenke/.m2/repository/org/slf4j/slf4j-api/1.7.7/slf4j-api-1.7.7.jar:/Users/liwenke/.m2/repository/org/slf4j/slf4j-log4j12/1.7.7/slf4j-log4j12-1.7.7.jar:/Users/liwenke/.m2/repository/log4j/log4j/1.2.12/log4j-1.2.12.jar:/Users/liwenke/.m2/repository/org/apache/commons/commons-lang3/3.1/commons-lang3-3.1.jar:/Users/liwenke/.m2/repository/commons-collections/commons-collections/3.2.2/commons-collections-3.2.2.jar:/Users/liwenke/.m2/repository/commons-io/commons-io/2.4/commons-io-2.4.jar:/Users/liwenke/.m2/repository/commons-pool/commons-pool/1.6/commons-pool-1.6.jar:/Users/liwenke/.m2/repository/mysql/mysql-connector-java/5.1.30/mysql-connector-java-5.1.30.jar:/Users/liwenke/.m2/repository/org/apache/commons/commons-dbcp2/2.1.1/commons-dbcp2-2.1.1.jar:/Users/liwenke/.m2/repository/org/apache/commons/commons-pool2/2.4.2/commons-pool2-2.4.2.jar:/Users/liwenke/.m2/repository/org/springframework/spring-webmvc/4.0.3.RELEASE/spring-webmvc-4.0.3.RELEASE.jar:/Users/liwenke/.m2/repository/org/springframework/spring-beans/4.0.3.RELEASE/spring-beans-4.0.3.RELEASE.jar:/Users/liwenke/.m2/repository/org/springframework/spring-context/4.0.3.RELEASE/spring-context-4.0.3.RELEASE.jar:/Users/liwenke/.m2/repository/org/springframework/spring-aop/4.0.3.RELEASE/spring-aop-4.0.3.RELEASE.jar:/Users/liwenke/.m2/repository/aopalliance/aopalliance/1.0/aopalliance-1.0.jar:/Users/liwenke/.m2/repository/org/springframework/spring-core/4.0.3.RELEASE/spring-core-4.0.3.RELEASE.jar:/Users/liwenke/.m2/repository/org/springframework/spring-expression/4.0.3.RELEASE/spring-expression-4.0.3.RELEASE.jar:/Users/liwenke/.m2/repository/org/springframework/spring-web/4.0.3.RELEASE/spring-web-4.0.3.RELEASE.jar:/Users/liwenke/.m2/repository/javax/servlet/servlet-api/2.5/servlet-api-2.5.jar:/Users/liwenke/.m2/repository/javax/servlet/jstl/1.2/jstl-1.2.jar:/Users/liwenke/.m2/repository/asm/asm/3.1/asm-3.1.jar:/Users/liwenke/.m2/repository/org/javassist/javassist/3.18.1-GA/javassist-3.18.1-GA.jar:/Users/liwenke/.m2/repository/com/sun/tools/btrace/btrace-client/1.2.3/btrace-client-1.2.3.jar:/Users/liwenke/.m2/repository/commons-dbutils/commons-dbutils/1.6/commons-dbutils-1.6.jar:/Users/liwenke/.m2/repository/org/apache/mina/mina-core/2.0.9/mina-core-2.0.9.jar:/Users/liwenke/.m2/repository/jdom/jdom/1.0/jdom-1.0.jar:/Users/liwenke/.m2/repository/org/apache/curator/curator-recipes/2.9.1/curator-recipes-2.9.1.jar:/Users/liwenke/.m2/repository/org/apache/curator/curator-framework/2.9.1/curator-framework-2.9.1.jar:/Users/liwenke/.m2/repository/org/apache/curator/curator-client/2.9.1/curator-client-2.9.1.jar:/Users/liwenke/.m2/repository/org/apache/curator/curator-examples/2.9.1/curator-examples-2.9.1.jar:/Users/liwenke/.m2/repository/org/apache/curator/curator-test/2.9.1/curator-test-2.9.1.jar:/Users/liwenke/.m2/repository/org/apache/zookeeper/zookeeper/3.4.6/zookeeper-3.4.6.jar:/Users/liwenke/.m2/repository/jline/jline/0.9.94/jline-0.9.94.jar:/Users/liwenke/.m2/repository/io/netty/netty/3.7.0.Final/netty-3.7.0.Final.jar:/Users/liwenke/.m2/repository/org/apache/commons/commons-math/2.2/commons-math-2.2.jar:/Users/liwenke/.m2/repository/org/apache/curator/curator-x-discovery/2.9.1/curator-x-discovery-2.9.1.jar:/Users/liwenke/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.13/jackson-mapper-asl-1.9.13.jar:/Users/liwenke/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.13/jackson-core-asl-1.9.13.jar:/Users/liwenke/.m2/repository/com/google/guava/guava/19.0/guava-19.0.jar:/Users/liwenke/.m2/repository/joda-time/joda-time/2.9.3/joda-time-2.9.3.jar:/Users/liwenke/.m2/repository/junit/junit/4.11/junit-4.11.jar:/Users/liwenke/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar:/Users/liwenke/.m2/repository/com/google/protobuf/protobuf-java/2.6.1/protobuf-java-2.6.1.jar:/Users/liwenke/.m2/repository/cglib/cglib-nodep/3.2.2/cglib-nodep-3.2.2.jar:/Users/liwenke/.m2/repository/com/caucho/hessian/4.0.7/hessian-4.0.7.jar:/Applications/IntelliJ IDEA 15.app/Contents/lib/idea_rt.jar 
2016-10-16 23:36:53 [   5027] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:java.library.path=/Users/liwenke/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:. 
2016-10-16 23:36:53 [   5028] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:java.io.tmpdir=/var/folders/wj/lkw7cmr510x7vd0m820y1lg80000gn/T/ 
2016-10-16 23:36:53 [   5028] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:java.compiler=<NA> 
2016-10-16 23:36:53 [   5028] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:os.name=Mac OS X 
2016-10-16 23:36:53 [   5029] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:os.arch=x86_64 
2016-10-16 23:36:53 [   5029] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:os.version=10.12 
2016-10-16 23:36:53 [   5029] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:user.name=liwenke 
2016-10-16 23:36:53 [   5029] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:user.home=/Users/liwenke 
2016-10-16 23:36:53 [   5029] [ INFO] - org.apache.zookeeper.ZooKeeper - Client environment:user.dir=/Users/liwenke/workspace/my-packge/my 
2016-10-16 23:36:53 [   5030] [ INFO] - org.apache.zookeeper.ZooKeeper - Initiating client connection, connectString=localhost:2181 sessionTimeout=60000 watcher=org.apache.curator.ConnectionState@30c7da1e 
2016-10-16 23:36:54 [   5106] [ INFO] - rg.apache.zookeeper.ClientCnxn - Opening socket connection to server localhost/0:0:0:0:0:0:0:1:2181. Will not attempt to authenticate using SASL (unknown error) 
